hand_id,review_url,start_seconds,end_seconds,top_cards,bottom_cards,board,pot
hcl_ivey_dwan_garrett_075,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=21157s,21157,21367,Kc 3h,4s 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_076,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=21367s,21367,21577,As 7s,4s 2h,Jh 5c 6c Js 5s,
hcl_ivey_dwan_garrett_078,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=21831s,21831,22041,Kc Td,8h 3c,Jh 5c Ah,
hcl_ivey_dwan_garrett_082,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=22864s,22864,23074,Kh 9c,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_084,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=23351s,23351,23561,As Td,3s 3c,Jh 7h Ah Jd,
hcl_ivey_dwan_garrett_085,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=23699s,23699,23909,Kh 3h,4s 2h,7h 6c Js 5s,
hcl_ivey_dwan_garrett_086,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=23964s,23964,24174,Kh 3h,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_087,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24211s,24211,24421,Kh Qc,3s 6d,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_088,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24422s,24422,24632,As 3h,8c 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_089,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24671s,24671,24881,Kh 3h,3s 3c,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_090,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24975s,24975,25185,As 3h,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_091,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25241s,25241,25451,Kh 2d,4s 6d,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_092,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25457s,25457,25667,As 9c,8c 3c,5c Ah,
hcl_ivey_dwan_garrett_093,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25672s,25672,25882,As Td,Qs 3c,5c Ah 2c,
hcl_ivey_dwan_garrett_094,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25949s,25949,26159,Kh 7s,3s 6d,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_095,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=26187s,26187,26397,5h 2d,3s 3c,Jh 5c 2c,
hcl_ivey_dwan_garrett_096,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=26410s,26410,26620,As 7s,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_097,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=26622s,26622,26832,Kh Td,3s 6d,5c 6c Js,
