hand_id,top_player,bottom_player,top_cards,bottom_cards,board,winner,actions
hcl_ivey_dwan_garrett_dense_117,unknown,unknown,5h 2d,4s 2h,5c Ah 2c,,unknown check | unknown call | unknown check | unknown call | unknown raise | unknown fold | GARRETT call | DYLAN bet
hcl_ivey_dwan_garrett_dense_118,MATT,DYLAN,Kh Td,8h 3c,6c Js,,MATT call
hcl_ivey_dwan_garrett_dense_119,LUCKY,unknown,Kh Td,3s 3c,Jh 5c 6c Js,,LUCKY call | unknown raise | LUCKY raise | unknown call | LUCKY fold
hcl_ivey_dwan_garrett_dense_120,LUCKY,DYLAN,Kh Td,3s 6d,Jh 5c 6c Js,,LUCKY fold | LUCKY bet | DYLAN call | LUCKY bet | LUCKY bet | DYLAN call | LUCKY bet | DYLAN call | DYLAN call | LUCKY bet | LUCKY bet | LUCKY call
hcl_ivey_dwan_garrett_dense_121,LUCKY,GARRETT,Kh Td,3s 3c,Jh 5c 6c Js,,LUCKY bet | GARRETT call | LUCKY bet | GARRETT call | LUCKY bet | GARRETT call | GARRETT call | LUCKY bet | LUCKY bet | LUCKY call
hcl_ivey_dwan_garrett_dense_122,unknown,GARRETT,Kh 2d,8c 3c,Jh 5c 6c Js,,unknown bet | GARRETT call | GARRETT call | GARRETT call | unknown call | GARRETT bet | LUCKY call
hcl_ivey_dwan_garrett_dense_124,KRISH,LUCKY,Kh 9c,8h 6d,Jh 5c Ah Js,,KRISH check | KRISH bet | LUCKY call | LUCKY call | LUCKY bet
hcl_ivey_dwan_garrett_dense_125,unknown,unknown,Kh 3h,4s 2h,Jh 5c Ah Js,,unknown call | unknown call | unknown raise | unknown bet | LUCKY bet | GARRETT calls
hcl_ivey_dwan_garrett_dense_126,unknown,unknown,Kh Td,4s 2h,Jh 5c Ah Js,,unknown call | unknown raise | unknown check | unknown raise | unknown call | unknown fold | GARRETT calls | DYLAN raises
hcl_ivey_dwan_garrett_dense_127,unknown,MATT,Kh Td,3s 3c,Jh 5c 6c Js,,unknown raise | MATT call | unknown check | unknown bet | MATT call | unknown call | DYLAN raises | DYLAN bet
hcl_ivey_dwan_garrett_dense_128,unknown,unknown,Kh 3h,3s 3c,Jh 5c 6c Js,,unknown check | unknown bet | unknown call | unknown call | unknown call | unknown raise | unknown call | DYLAN bet
hcl_ivey_dwan_garrett_dense_129,unknown,unknown,Kh Td,8c 3c,Jh 5c 6c Js,,unknown bet | unknown call | unknown call | unknown call | unknown fold
hcl_ivey_dwan_garrett_dense_130,unknown,unknown,Kh Td,8d 3c,Jh 5c 6c Js,,unknown check | unknown check | unknown fold | unknown call | LUCKY call
hcl_ivey_dwan_garrett_dense_131,unknown,unknown,Kh Jc,4s 3c,Jh 5c 2c Js,,unknown raise | unknown call | unknown fold | unknown check | LUCKY call
hcl_ivey_dwan_garrett_dense_132,unknown,unknown,As Jc,8h 6d,Jh 5c 6c Js,,unknown check | unknown call | unknown bet | unknown call | unknown call | unknown bet | unknown call
hcl_ivey_dwan_garrett_dense_133,KRISH,LUCKY,Kh 9c,4s 6d,,,LUCKY fold | KRISH fold | LUCKY call
hcl_ivey_dwan_garrett_dense_134,unknown,unknown,As Td,3s 3c,Jh 5c Ah,,unknown call | unknown raise | unknown fold | unknown fold | unknown call
hcl_ivey_dwan_garrett_dense_135,unknown,GARRETT,Kh 3h,3s 6d,Jh 5c 6c Js,,unknown call | GARRETT raise | GARRETT call | unknown fold
hcl_ivey_dwan_garrett_dense_136,unknown,unknown,Kh Td,3s 6d,Jh 5c 6c Js,,unknown check | unknown bet | unknown call | unknown call | unknown call
hcl_ivey_dwan_garrett_dense_137,LUCKY,LUCKY,Kc 3h,4s 6d,Jh 5c Ah Js,,LUCKY raise | LUCKY call | LUCKY bet
hcl_ivey_dwan_garrett_dense_138,unknown,LUCKY,Kc Qd,4s 2h,Jh 5c Ah Js,,unknown call | LUCKY bet | unknown bet | LUCKY call
hcl_ivey_dwan_garrett_dense_139,KRISH,unknown,5h 7s,4s 2h,Jh 5c 6c Js,,unknown raise | KRISH fold | KRISH bet | unknown call | KRISH bet | unknown call | KRISH call | unknown all in | KRISH call | unknown all in
hcl_ivey_dwan_garrett_dense_140,KRISH,unknown,5h 5d,4s 2h,Jh 5c 6c Js 5s,KRISH,KRISH bet | unknown call | KRISH bet | unknown all in | KRISH call | unknown all in | KRISH call | unknown all in | KRISH call
hcl_ivey_dwan_garrett_dense_143,LUCKY,unknown,Kc Td,8h 3c,Jh 5c Ah,,LUCKY call | unknown call | LUCKY bet | unknown call | LUCKY bet | unknown call | LUCKY raise | unknown call | unknown all in
hcl_ivey_dwan_garrett_dense_144,LUCKY,GARRETT,Kc Td,4s 3c,Jh 5c 6c,,LUCKY call | GARRETT raise | LUCKY raise | GARRETT call | GARRETT all in
hcl_ivey_dwan_garrett_dense_146,MATT,unknown,Kc 7s,4s 2h,5c Ah 2c,,
hcl_ivey_dwan_garrett_dense_148,unknown,unknown,Kh 3h,8h 3c,Jh 5c 6c Js,,unknown call | unknown fold
hcl_ivey_dwan_garrett_dense_150,LUCKY,GARRETT,Kh 9c,8h 3c,Jh 5c 6c Js,,LUCKY bet | GARRETT call | LUCKY bet | GARRETT call | LUCKY bet | GARRETT call | LUCKY bet | GARRETT call
hcl_ivey_dwan_garrett_dense_151,LUCKY,unknown,Kh 9c,3s 6d,Jh 5c 6c Js,,LUCKY bet | unknown call | LUCKY bet | unknown call | unknown call | unknown call | LUCKY bet | unknown call | LUCKY bet | unknown call | LUCKY call
