hand_id,review_url,start_seconds,end_seconds,top_cards,bottom_cards,board,pot
hcl_ivey_dwan_garrett_dense_056,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9245s,9245,9455,Kh Td,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_057,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9424s,9424,9634,Kh Jc,8h 3c,Jh 7h Ah Js,
hcl_ivey_dwan_garrett_dense_058,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9584s,9584,9794,As Td,4s 2h,Jh 7h 6c Js,
hcl_ivey_dwan_garrett_dense_059,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9718s,9718,9928,As Td,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_062,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10110s,10110,10320,As Td,4s 2h,Jh 7h 6c Js,
hcl_ivey_dwan_garrett_dense_063,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10204s,10204,10414,As 7s,4s 2h,Jh 7h 6c Js,
hcl_ivey_dwan_garrett_dense_069,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10906s,10906,11116,Kh Td,3s 6d,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_dense_070,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11141s,11141,11351,As Td,3s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_071,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11234s,11234,11444,As Td,4s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_072,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11354s,11354,11564,As Qd,3s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_073,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11478s,11478,11688,As Qd,8h 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_074,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11636s,11636,11846,Kh Td,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_075,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11778s,11778,11988,As 7s,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_076,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11921s,11921,12131,Kh 3h,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_077,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=12042s,12042,12252,Kh 3h,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_078,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=12199s,12199,12409,Kh Td,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_079,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=12310s,12310,12520,As 9c,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_083,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=12856s,12856,13066,7d 5d,3s 3c,5c 6c Js 5s,
hcl_ivey_dwan_garrett_dense_084,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=12947s,12947,13157,As Jc,3s 3c,Jh 5c 6c Js 5s,
hcl_ivey_dwan_garrett_dense_087,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=13553s,13553,13763,Kc Jc,8c 6d,Jh 5c 6c,
hcl_ivey_dwan_garrett_dense_088,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=13658s,13658,13868,Kc Jc,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_090,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=13954s,13954,14164,As Td,8h 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_091,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=14044s,14044,14254,As Td,8h 6d,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_dense_092,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=14174s,14174,14384,As Td,4s 2h,Jh 2c,
hcl_ivey_dwan_garrett_dense_093,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=14276s,14276,14486,As 3h,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_094,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=14459s,14459,14669,Kh Td,8d 6d,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_dense_095,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=14823s,14823,15033,Kh 3h,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_097,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=15070s,15070,15280,Kh Jc,3s 6d,Jh 7h Ah Js,
hcl_ivey_dwan_garrett_dense_098,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=15274s,15274,15484,As Jc,8c 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_099,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=15410s,15410,15620,5h 2d,4s 3c,Jh 5c Ah,
hcl_ivey_dwan_garrett_dense_100,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=15656s,15656,15866,Kc Td,3s 3c,Jh 5c 6c Js 5s,
hcl_ivey_dwan_garrett_dense_101,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=15763s,15763,15973,As 7s,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_102,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=15856s,15856,16066,As 3h,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_105,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=16248s,16248,16458,As Td,4s 2h,6c,
hcl_ivey_dwan_garrett_dense_106,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=16350s,16350,16560,Kh 5d,4s 2h,Jh 5c,
hcl_ivey_dwan_garrett_dense_108,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=16546s,16546,16756,Kh Jc,4s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_109,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=16642s,16642,16852,Kh 3h,8h 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_110,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=16768s,16768,16978,As Qc,3s 6d,Jh 5c Ah 3d,
hcl_ivey_dwan_garrett_dense_111,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=16901s,16901,17111,As Qc,3s 6d,Jh 7h 2c Js,
hcl_ivey_dwan_garrett_dense_112,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=16996s,16996,17206,5h 5d,3s 3c,Jh 7h 2c,
hcl_ivey_dwan_garrett_dense_113,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=17424s,17424,17634,5h 5d,8h 6d,5c Ah 3d,
hcl_ivey_dwan_garrett_dense_115,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=17624s,17624,17834,As 9c,8h 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_116,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=17806s,17806,18016,Kh Td,4s 3c,Jh 5c Ah,
hcl_ivey_dwan_garrett_dense_117,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=18000s,18000,18210,5h 2d,4s 2h,5c Ah 2c,
hcl_ivey_dwan_garrett_dense_118,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=18170s,18170,18380,Kh Td,8h 3c,6c Js,
hcl_ivey_dwan_garrett_dense_119,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=18291s,18291,18501,Kh Td,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_120,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=18443s,18443,18653,Kh Td,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_121,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=18542s,18542,18752,Kh Td,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_122,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=18632s,18632,18842,Kh 2d,8c 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_124,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19040s,19040,19250,Kh 9c,8h 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_125,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19156s,19156,19366,Kh 3h,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_126,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19253s,19253,19463,Kh Td,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_127,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19382s,19382,19592,Kh Td,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_128,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19474s,19474,19684,Kh 3h,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_129,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19575s,19575,19785,Kh Td,8c 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_130,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19729s,19729,19939,Kh Td,8d 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_131,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19831s,19831,20041,Kh Jc,4s 3c,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_dense_132,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=20037s,20037,20247,As Jc,8h 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_133,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=20445s,20445,20655,Kh 9c,4s 6d,,
hcl_ivey_dwan_garrett_dense_134,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=20722s,20722,20932,As Td,3s 3c,Jh 5c Ah,
