site,player,n_hands,m,sd,bb100,se,lo,hi
PS,xrf8tAXKQHG99HixCot1Iw,8943,-0.27984960322522096,10.818617586362453,-27.984960322522095,11.440108788711907,-50.40757354839744,-5.562347096646757
IPN,6ANMtLNrsl3rH4hg5UICqA,6032,-0.2844623123895901,2.6514949471632896,-28.446231238959008,3.41397343478959,-35.1376191711466,-21.754843306771413
IPN,jCbbMOS8TqPJ2kdWMuvzig,10979,-0.28581382554241275,3.421014554644295,-28.581382554241273,3.2649274055847153,-34.98064026918731,-22.18212483929523
FTP,SKPTemuzsQCg9dvPijYBag,36286,-0.28687290995128345,14.509561289972664,-28.687290995128343,7.617013638701437,-43.61663772698316,-13.757944263273528
ONG,1Hjt5vFkm05J51EwE7uzWA,9972,-0.2887104321058243,11.849765029359222,-28.87104321058243,11.866389620198563,-52.129166866171616,-5.612919554993251
IPN,KJjf5f2AI6pm0PBaCgWbKA,10717,-0.2897988394969233,2.5218961166859732,-28.97988394969233,2.4360745662051078,-33.75459009945434,-24.20517779993032
PS,0yQqkxHEIwe3fsTQIkWZYQ,6675,-0.29036254191722316,10.200436402836853,-29.036254191722318,12.485131400184741,-53.50711173608441,-4.565396647360224
PTY,3FPQBJ/bU5GWOmX5CfZgYA,8701,-0.29368202375902497,12.833361559856892,-29.3682023759025,13.75801712450844,-56.33391593993904,-2.4024888118659575
PS,jT8zlCl7eMvwI9tspZ/zzw,5965,-0.2943277436431126,9.533556034567379,-29.43277436431126,12.343823393376416,-53.62666821532903,-5.238880513293484
PTY,QZL9NdMQKFNTDv71UmTXmw,5149,-0.30013206475724535,9.365081203159983,-30.013206475724534,13.051189678836874,-55.593538246244805,-4.432874705204263
ONG,+LAy/6IXH26xXR9PwuWCSQ,42866,-0.3034146303526603,13.535559201416243,-30.34146303526603,6.537620742692407,-43.15519969094315,-17.527726379588913
PTY,cBNb3edp/wOdppOLqU6kNg,5393,-0.30424327851336497,9.196619895415814,-30.424327851336496,12.523133979428327,-54.969670451016015,-5.878985251656978
ONG,6AnsXfJQtE+b3bxRAlS2AA,13428,-0.3054512960959469,14.819102162702372,-30.54512960959469,12.788400410820678,-55.61039441480322,-5.47986480438616
PTY,59VFVV5UifKA29iWuIpZgw,5427,-0.3082216219720504,11.33933356099822,-30.82216219720504,15.392445339088406,-60.99135506181831,-0.6529693325917627
PS,Vm33eaMxSkdgn2uDA36gSg,7729,-0.3085710754275114,12.504680267402964,-30.857107542751137,14.223646101118208,-58.73545390094282,-2.9787611845594526
IPN,e4uDsy9LmVXRVd/falgbgw,17248,-0.30943388716492226,5.808039865537904,-30.943388716492226,4.422422356980801,-39.6113365361746,-22.275440896809855
IPN,1KnLTLVBp9H2l4gsaCQQIQ,9450,-0.3107460287008336,5.903365778831585,-31.07460287008336,6.072727438168582,-42.97714864889378,-19.17205709127294
IPN,PsOPq94RF0SbvOh22noClw,5271,-0.312510908701641,3.698257685760651,-31.2510908701641,5.093902878756597,-41.235140512527025,-21.26704122780117
PS,Z4+aELaGxGsV5G0ofphVmA,7502,-0.31520327845460705,11.621525894839996,-31.520327845460706,13.417593314369839,-57.81881074162559,-5.221844949295821
FTP,BTQKqGp6Kyxsb9ieLmUqgA,8865,-0.3179314734261888,12.635132290068945,-31.793147342618884,13.41962634011616,-58.095614969246554,-5.4906797159912095
PTY,06DEjabhHiB6WrncZNV7Yg,5251,-0.32045490981011,9.981796738158483,-32.045490981011,13.774876468186218,-59.04424885865599,-5.046733103366012
PS,viiaOVEc49VNQDBso5wiLw,5998,-0.32215738400913807,14.272566595824852,-32.21573840091381,18.428875979751215,-68.33633532122619,3.904858519398573
PS,lqGlGGXpv9q8aW3mbDhWOQ,5713,-0.32343106502861063,9.558172151028607,-32.34310650286106,12.645695970811763,-57.12867060565212,-7.557542400070005
PS,PAeDFsQb10VWW7mNRjr91g,5573,-0.32448015577801037,19.180131886351557,-32.44801557780104,25.692541554092582,-82.8053970238225,17.90936586822042
PS,l/8mKKhmfSFmpxdhesMQsw,7280,-0.32540728143969,9.540373920369596,-32.540728143969,11.18149069931577,-54.45644991462791,-10.62500637331009
PTY,MTRF+YHojfMUsgXhLbRfLQ,6463,-0.3266046460082144,14.87645296178917,-32.66046460082144,18.504711366507113,-68.92969887917539,3.6087696775325
ABS,2z5y5+EUdo/4EvR7fn2BKw,5118,-0.3289107088781689,9.619137206292434,-32.891070887816895,13.445779309133867,-59.244798333719274,-6.5373434419145156
ONG,Pz00Xlv8m4yMZgIzc4gBfw,22230,-0.32996408790065074,13.901113918614488,-32.996408790065075,9.323519232372886,-51.27050648551593,-14.72231109461422
ABS,29TRvsUIOfCtgBIa9W9tEw,5617,-0.33460862699943184,6.877558221960778,-33.460862699943185,9.176605537300702,-51.44700955305256,-15.47471584683381
PS,54244442,5742,-0.3421421136412846,9.0116368229376,-34.21421136412846,11.89247061136976,-57.52345376241318,-10.904968965843732
FTP,5r6HIS5GuD3AR78z3Wn2Dg,7379,-0.34392476635466973,15.199273311052899,-34.39247663546697,17.693920405909132,-69.07256063104887,0.2876073601149258
PS,uZxoEz8PAQq/ZJjH2udYGQ,5559,-0.3441927480694147,11.997279602760257,-34.419274806941466,16.091052188863085,-65.95773709711311,-2.880812516769822
ONG,M316AHGz3qBiq9pWdsijbg,9125,-0.3509785398783749,13.343373205048385,-35.09785398783749,13.968481487143155,-62.47607770263807,-7.7196302730369055
IPN,so6YezS/AbKnZDNyjfGhFA,5006,-0.35439372567524685,3.539248284806209,-35.439372567524686,5.002252473360246,-45.24378741531076,-25.634957719738605
